Mods count: 360
 
                                             jar name                                               |    notes     |                      mod id                      |                                   mod name                                   |         mod version         |                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                   |              modrinth hash               | curseforge hash
----------------------------------------------------------------------------------------------------+--------------+--------------------------------------------------+------------------------------------------------------------------------------+-----------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.238 (modloader)                                                                       |              | neoforge                                         | neoforge                                                                     | neoforge-21.1.238           |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
abridged-2.0.2-neoforge-21.1.jar                                                                    |              | abridged                                         | Abridged                                                                     | 2.0.2                       | abridged.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              | 980c3bb14c537ed5e00ec106bfbd01fcc7e9bfdd | 256649507      
    /META-INF/jarjar/apollib-1.1.5-neoforge-21.1.jar                                                |              | apollib                                          | Apollib                                                                      | 1.1.5                       |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
        /META-INF/jars/json5-java-3.0.0.jar                                                         |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
abundant_atmosphere-1.21.1-2.0.0-beta2-neoforge.jar                                                 |              | abundant_atmosphere                              | Abundant Atmosphere                                                          | 1.21.1-2.0.0-beta2-neoforge | abundant_atmosphere.mixins.json                                                                                                                                                                                                                                                                                                                                                                                   | f2efa0e602ed38aed55ea30cdc4c86dd8f047bc0 | 2972879523     
accessories-neoforge-1.1.0-beta.53+1.21.1.jar                                                       |              | accessories                                      | Accessories                                                                  | 1.1.0-beta.53+1.21.1        | accessories-forge.mixins.json, accessories-common.mixins.json                                                                                                                                                                                                                                                                                                                                                     | 77d75c2e13cfdf56a45cdd29806c1c97c3d250fc | 2661209689     
accessories_compat_layer-neoforge-0.1.12+1.21.1.jar                                                 |              | accessories_compat_layer                         | Accessories Compatibility Layer                                              | 0.1.12                      | accessories_compat_layer-neoforge.mixins.json, accessories_compat_layer-curios.mixins.json, accessories_compat_layer-trinkets.mixins.json, accessories_compat_layer-common.mixins.json                                                                                                                                                                                                                            | 59dd35650925d72f5158816caf895f3d9fa0edf4 | 3503433516     
additionalbars-5.1.0.jar                                                                            |              | additionalbars                                   | Additional Bars                                                              | 5.1.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 30c9d8f287e1d6d4d0abfe2f984e8017d0342572 | 3949129363     
aerellcrafter-1.1.0-1.21.1-neoforge.jar                                                             |              | aerellcrafter                                    | Aerell Crafter                                                               | 1.1.0-1.21.1-neoforge       | aerellcrafter.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         | 94d7f2eb65d6dc7147b1004e05928d4db2bef47c | 854316212      
afterimages-neoforge-1.21.1-1.1.4.jar                                                               |              | afterimages                                      | Afterimages                                                                  | 1.1.4                       | afterimages.neoforge.mixins.json, afterimages.mixins.json                                                                                                                                                                                                                                                                                                                                                         | 8d2ab4e7441c7ff2c6dfc65c777d2998d860afa8 | 361741247      
AI-Improvements-1.21-0.5.3.jar                                                                      |              | aiimprovements                                   | AI-Improvements                                                              | 0.5.3                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | b4a8e11384454bcc341043b251db7fb5afdfdf45 | 3163557722     
almostunified-neoforge-1.21.1-1.4.2.jar                                                             |              | almostunified                                    | AlmostUnified                                                                | 1.21.1-1.4.2                | almostunified-common.mixins.json, almostunified-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                              | f9a58fa95780f4b045d30559c1fdaedaa7f0fba3 | 1987996700     
alternate_current-mc1.21-1.9.0.jar                                                                  |              | alternate_current                                | Alternate Current                                                            | 1.9.0                       | alternate-current.mixins.json                                                                                                                                                                                                                                                                                                                                                                                     | 1201c14362f2bad7062d315f8a9b26afbabd2c9c | 4040730689     
amplified-nether-height-1.2+datapack.jar                                                            |              | mr_amplified_netherheight                        | Amplified Nether Height                                                      | 1.2+datapack                |                                                                                                                                                                                                                                                                                                                                                                                                                   | c75dde108ecae8005c2d69e95f503deb41152dc1 | 4094759785     
Amplified_Nether_26.1_v1.2.14.jar                                                                   |              | amplified_nether                                 | Amplified Nether                                                             | 1.2.14                      |                                                                                                                                                                                                                                                                                                                                                                                                                   | cf78213066fbe4a121d8ad1320386b09a69eaa9a | 1880441343     
arcadia-better-creative-1.1.0.jar                                                                   |              | arcadiabettercreative                            | Arcadia Better Creative                                                      | 1.1.0                       | arcadia-better-creative.mixins.json                                                                                                                                                                                                                                                                                                                                                                               | 2b6377dc822185fa265f8c1ba9062ff7dbb184ed | 728985933      
architectury-13.0.8-neoforge.jar                                                                    |              | architectury                                     | Architectury                                                                 | 13.0.8                      | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                         | 6ca11d3cc136bf69bb8f4d56982481eb85b5100b | 418634412      
async-neoforge-0.2.0+alpha-1.21.1.jar                                                               |              | async                                            | Async                                                                        | 0.2.0+alpha-1.21.1          | async.common.mixins.json, async.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                              | 2fd84ae873d8fb6263fa86417b9cede2baa3c58b | 1084808811     
AsyncParticles-21.1.3.0+1.21.1.jar                                                                  |              | asyncparticles                                   | AsyncParticles                                                               | **.**.**.**                    | fabric-asyncparticles-common.mixins.json, neoforge-asyncparticles-common.mixins.json, neoforge-asyncparticles-neoforge.mixins.json, fabric-asyncparticles.target-modifier.mixins.json, neoforge-asyncparticles.target-modifier.mixins.json                                                                                                                                                                        | 170637e8bc7943f1ccce7a8b9de4a2decd08b96c | 2072901659     
athena-neoforge-1.21.1-4.0.6.jar                                                                    |              | athena                                           | Athena                                                                       | 4.0.6                       | athena.mixins.json, athena-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                   | 4bcbdf388bd5e387beca7c627224aac33584b55b | 669268138      
BadOptimizations-2.4.1-1.21.1.jar                                                                   |              | badoptimizations                                 | BadOptimizations                                                             | 2.4.1                       | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json                                                                                                                                                                                                                                                                                                                                           | 1461d8e46391efd32a3085150e86094c9f6f5c9d | 3053351722     
balm-neoforge-1.21.1-21.0.63.jar                                                                    |              | balm                                             | Balm                                                                         | 21.0.63                     | balm.neoforge.mixins.json, balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                       | f0b85246a422373cc724affeaedbe2c08e88d67f | 2859800241     
    /META-INF/jarjar/kuma-api-neoforge-21.0.8+1.21.jar                                              |              | kuma_api                                         | KumaAPI                                                                      | 21.0.8                      | kuma_api.neoforge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                                                               |                                          |                
BarteringStation-v21.1.0-1.21.1-NeoForge.jar                                                        |              | barteringstation                                 | Bartering Station                                                            | 21.1.0                      | barteringstation.neoforge.mixins.json, barteringstation.common.mixins.json                                                                                                                                                                                                                                                                                                                                        | f48d3cf685e11d057e00bd403988fed812756670 | 4268016853     
belts-neoforge-0.2.2.jar                                                                            |              | belts                                            | Simple Belts                                                                 | 0.2.2                       | belts.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                 | 93a35ebdf264f0b2bc8b36800efbf4b8f933577a | 3855283621     
better_saved_tabs-neoforge-0.1.0+1.21.1.jar                                                         |              | better_saved_tabs                                | Better Saved Tabs                                                            | 0.1.0                       | better_saved_tabs-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                              | bd40f3aaf3bacfcfac7a83e31017008a285627c1 | 1027855754     
bettercombat-neoforge-2.4.0+1.21.1.jar                                                              |              | bettercombat                                     | Better Combat                                                                | 2.4.0+1.21.1                | bettercombat.mixins.json                                                                                                                                                                                                                                                                                                                                                                                          | bacbc8c86671663e9998b141c5732250c1f4d4fb | 77274129       
    /META-INF/jars/tiny-config-3.1.0-neoforge.jar                                                   |              | tiny_config                                      | Tiny Config                                                                  | 3.1.0                       | tiny_config.mixins.json                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
betterharvestlevels-neoforge-1.21.1-2.0.1.jar                                                       |              | betterharvestlevels                              | Better Harvest Levels                                                        | 2.0.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | be4ae1c4940851b746df570d5b6e41533b3c1f2d | 3476523371     
betterworldloadingnf21-1.0.jar                                                                      |              | betterworldloadingnf21                           | Better World Loading                                                         | 1.0                         | betterworldloadingnf21.mixins.json                                                                                                                                                                                                                                                                                                                                                                                | 83b2e9003981e0306ee57926cd192042ccb7cedd | 2843562691     
beyond_mines_falling-1.3.0-neoforge-1.21.1.jar                                                      |              | beyond_mines_falling                             | Beyond Mines: Falling                                                        | 1.3.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | d7eb7f517cb1733b98fd712964b7c7c7cef15188 | 1541646930     
biggerstorage1.21.1-neoforge-1.0.0.jar                                                              |              | create_bs                                        | Create Better Storages                                                       | 1.1.0-1.21.1                | create_bs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                             | c41c05f7f8cd846e67386b7cc2e9f166cc0c0210 | 3776113020     
biolith-neoforge-3.0.14.jar                                                                         |              | biolith                                          | Biolith                                                                      | 3.0.14                      | biolith.mixins.json, biolith.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                 | 8b041bce1cd0c5f5223c285784a3e8498273d6ea | 932611292      
blocksabound-0.3.0.jar                                                                              |              | blocksabound                                     | Blocks Abound                                                                | 0.3.0                       | blocksabound.mixins.json                                                                                                                                                                                                                                                                                                                                                                                          | 571daf6f10bf08306b316720382cbdd7f81f5cb5 | 2715328963     
BuildersDelight-1.21.1-v.1.4.jar                                                                    |              | buildersdelight                                  | Builder's Delight                                                            | 1.3                         |                                                                                                                                                                                                                                                                                                                                                                                                                   | 0e74e7ec6fbb2475374ded9db4dd3a3ecf48df96 | 2429214373     
c2me-neoforge-mc1.21.1-0.4.0-alpha.0.120.jar                                                        |              | c2me                                             | Concurrent Chunk Management Engine                                           | 0.4.0-alpha.0.120+1.21.1    |                                                                                                                                                                                                                                                                                                                                                                                                                   | f06c116c1b447a2cdb3162d6c9ec54c9a422b48d | 122271087      
    /META-INF/jars/asyncutil-0.1.0.jar                                                              |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/c2me-neoforge-base-mc1.21.1-0.4.0-alpha.0.120-all.jar                            |              | c2me_base                                        | Concurrent Chunk Management Engine (Base)                                    | 0.4.0-alpha.0.120+1.21.1    | c2me-base.mixins.json, c2me.mixins.json                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-neoforge-client-uncapvd-mc1.21.1-0.4.0-alpha.0.120.jar                      |              | c2me_client_uncapvd                              | Concurrent Chunk Management Engine (Client/Uncap View Distance)              | 0.4.0-alpha.0.120+1.21.1    | c2me-client-uncapvd.mixins.json                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
